m,d,cell,fab0,fab1,d_fab,overall,wf,n0,n1
gemini-3.1-pro-preview,mri,65rf,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,32wm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,32wf,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,32bm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,32bf,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,32rm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,32rf,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,65wm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,65wf,0.02,0.01,-0.01,0.0012438708805108216,0.0,2,1
gemini-3.1-pro-preview,derm,65bm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,65bf,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,65rm,0.02,0.0,-0.02,0.01007286462500085,,2,0
gemini-3.1-pro-preview,derm,65rf,0.02,0.01,-0.01,0.0012438708805108216,0.0,2,1
