model,domain,contrast_type,fixed_age,fixed_race,fixed_sex,profile_a,profile_b,jsd_point,jsd_bootstrap_mean,ci_lo,ci_hi,n_a,n_b,source_sha256_a,source_sha256_b
claude-opus-4-7,mri,age_32_vs_65,,r,m,32rm,65rm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,6bda1908cb91fc0f2bc85164a322b9f3e0da43e11eed58dbcff2ddb425584cb0,336a9958bb73b831c7597bc99667d7c0bb20c58713077554a836c55cb3ef528c
claude-opus-4-7,mri,age_32_vs_65,,r,f,32rf,65rf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,470366e2adda0811c6dd9d66f3655dcc24741335b3d597b472558ff1dee155a9,c7bd34fc600db3a4d7f62994e435fd2e2dbcd14782f6c3d7d215ce2f9621ccc2
claude-opus-4-7,xray,white_vs_Black,32,,m,32wm,32bm,0.258024461044,0.257915570755,0.195295426258,0.335497301577,100,100,a08b9c0c1d96b8663d9f85d473e987ba74344415b9d0008b6c9a2b3aa939ed5e,9cd5f6dcf97b38d2ff5f9953f71b4def220b0c3727508de795c83af93524cfba
claude-opus-4-7,xray,white_vs_Black,32,,f,32wf,32bf,0.068262195587,0.068912355644,0.035915901089,0.113906369766,100,100,950f6b2a61ba09456e8d1da3198653a44321dbbcb70ac19e9f0cd3bc002b7ced,d65a16d427b31cd9cc6b8a92b06ab5814532b80a5f4e2e7c910163dddc936dd7
claude-opus-4-7,xray,white_vs_Black,65,,m,65wm,65bm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,f0a606c6699f20ae8386381dd32ab93f4e351937b99c2741d4bd0e7c866ec3ae,37f02dc3927bd29e2cc208f1480b171e146d9ab7b073e90ba6430708c9c1a140
claude-opus-4-7,xray,white_vs_Black,65,,f,65wf,65bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,bc39ed43ffaccfcb7f639c6ab25199a7dbe948eda24c3e4a5f7361ef8e46740a,900f7585ffd6e084163a52b7878d713cdfacb947e8cb5f9b372ea9b1cf681390
claude-opus-4-7,xray,man_vs_woman,32,w,,32wm,32wf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,a08b9c0c1d96b8663d9f85d473e987ba74344415b9d0008b6c9a2b3aa939ed5e,950f6b2a61ba09456e8d1da3198653a44321dbbcb70ac19e9f0cd3bc002b7ced
claude-opus-4-7,xray,man_vs_woman,32,b,,32bm,32bf,0.083824199457,0.088548682693,0.032400194030,0.163253630414,100,100,9cd5f6dcf97b38d2ff5f9953f71b4def220b0c3727508de795c83af93524cfba,d65a16d427b31cd9cc6b8a92b06ab5814532b80a5f4e2e7c910163dddc936dd7
claude-opus-4-7,xray,man_vs_woman,32,r,,32rm,32rf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,e75be73428702f8a26bd5d82447d44ed644408bcb30397c3af6fde750234f4ce,a26c81d46b54cc36ddcdd1d05d00f53fa2e5bc4b5fc062c92e79a47599789b19
claude-opus-4-7,xray,man_vs_woman,65,w,,65wm,65wf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,f0a606c6699f20ae8386381dd32ab93f4e351937b99c2741d4bd0e7c866ec3ae,bc39ed43ffaccfcb7f639c6ab25199a7dbe948eda24c3e4a5f7361ef8e46740a
claude-opus-4-7,xray,man_vs_woman,65,b,,65bm,65bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,37f02dc3927bd29e2cc208f1480b171e146d9ab7b073e90ba6430708c9c1a140,900f7585ffd6e084163a52b7878d713cdfacb947e8cb5f9b372ea9b1cf681390
claude-opus-4-7,xray,man_vs_woman,65,r,,65rm,65rf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,11de66288fbbb6652f7abf5158dbe873d973f48dd0f368ab886e83ba34ab7524,535b61912ad5c8bbb17e8c465fdc131590e7a3ac16f3f9ddbb9befa43286fe34
claude-opus-4-7,xray,age_32_vs_65,,w,m,32wm,65wm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,a08b9c0c1d96b8663d9f85d473e987ba74344415b9d0008b6c9a2b3aa939ed5e,f0a606c6699f20ae8386381dd32ab93f4e351937b99c2741d4bd0e7c866ec3ae
claude-opus-4-7,xray,age_32_vs_65,,w,f,32wf,65wf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,950f6b2a61ba09456e8d1da3198653a44321dbbcb70ac19e9f0cd3bc002b7ced,bc39ed43ffaccfcb7f639c6ab25199a7dbe948eda24c3e4a5f7361ef8e46740a
claude-opus-4-7,xray,age_32_vs_65,,b,m,32bm,65bm,0.258024461044,0.260897041718,0.195295426258,0.335497301577,100,100,9cd5f6dcf97b38d2ff5f9953f71b4def220b0c3727508de795c83af93524cfba,37f02dc3927bd29e2cc208f1480b171e146d9ab7b073e90ba6430708c9c1a140
claude-opus-4-7,xray,age_32_vs_65,,b,f,32bf,65bf,0.068262195587,0.069254043368,0.035915901089,0.108031546146,100,100,d65a16d427b31cd9cc6b8a92b06ab5814532b80a5f4e2e7c910163dddc936dd7,900f7585ffd6e084163a52b7878d713cdfacb947e8cb5f9b372ea9b1cf681390
claude-opus-4-7,xray,age_32_vs_65,,r,m,32rm,65rm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,e75be73428702f8a26bd5d82447d44ed644408bcb30397c3af6fde750234f4ce,11de66288fbbb6652f7abf5158dbe873d973f48dd0f368ab886e83ba34ab7524
claude-opus-4-7,xray,age_32_vs_65,,r,f,32rf,65rf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,a26c81d46b54cc36ddcdd1d05d00f53fa2e5bc4b5fc062c92e79a47599789b19,535b61912ad5c8bbb17e8c465fdc131590e7a3ac16f3f9ddbb9befa43286fe34
gemini-3.1-pro-preview,derm,white_vs_Black,32,,m,32wm,32bm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,5dbdc08d9baf7378e343897965da033e7d2b0c5f6dbd787a1459ad211f8cc710,c73a66dfe424f9425e51dabba91d9154ad2621d76949c066622a902c5e64e158
gemini-3.1-pro-preview,derm,white_vs_Black,32,,f,32wf,32bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,d72273323f54fe63f14dfe00335d56578d32be6daf38890ace6e697a67bc07d9,81c1538f7819e8759baa732db61719e364453041993985899967e7f2f57f84af
gemini-3.1-pro-preview,derm,white_vs_Black,65,,m,65wm,65bm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,7012c049473d589490137feb54627a7c2ad43bf98d485478f1a026208200ff76,5fdf1ecd3b8b6730bf4db91456fcfd82b7ada821ce285fe31af211f4db5161f0
gemini-3.1-pro-preview,derm,white_vs_Black,65,,f,65wf,65bf,0.005018124386,0.005066332088,0.000000000000,0.015164781184,100,100,071ee0469f7ee1987d2bae9c100813510b41e90bdaef064e4b5bd2d891f5e4ef,83b42ee9d6f17abdc7aa1592c8d4a48569ae2da78e1d49ae3ff01f551c66aeef
gemini-3.1-pro-preview,derm,man_vs_woman,32,w,,32wm,32wf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,5dbdc08d9baf7378e343897965da033e7d2b0c5f6dbd787a1459ad211f8cc710,d72273323f54fe63f14dfe00335d56578d32be6daf38890ace6e697a67bc07d9
gemini-3.1-pro-preview,derm,man_vs_woman,32,b,,32bm,32bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,c73a66dfe424f9425e51dabba91d9154ad2621d76949c066622a902c5e64e158,81c1538f7819e8759baa732db61719e364453041993985899967e7f2f57f84af
gemini-3.1-pro-preview,derm,man_vs_woman,32,r,,32rm,32rf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,34ac0b5e25c2d48af1b26f60cc5b1137e2913ae6010e66c3630469f1ac572cf6,e85a33c8b9f1fab38a860e9c7cdadda7ad6c613014cbc0c1403a46c3c50a6650
gemini-3.1-pro-preview,derm,man_vs_woman,65,w,,65wm,65wf,0.005018124386,0.004986018225,0.000000000000,0.015164781184,100,100,7012c049473d589490137feb54627a7c2ad43bf98d485478f1a026208200ff76,071ee0469f7ee1987d2bae9c100813510b41e90bdaef064e4b5bd2d891f5e4ef
gemini-3.1-pro-preview,derm,man_vs_woman,65,b,,65bm,65bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,5fdf1ecd3b8b6730bf4db91456fcfd82b7ada821ce285fe31af211f4db5161f0,83b42ee9d6f17abdc7aa1592c8d4a48569ae2da78e1d49ae3ff01f551c66aeef
gemini-3.1-pro-preview,derm,man_vs_woman,65,r,,65rm,65rf,0.005018124386,0.004779052379,0.000000000000,0.015164781184,100,100,f868fedb94ee71065af21850a0372d894f0c65a118f3865ba0098e344c0c49c7,cc46578a30bbdb354df0e1cf08e216e03978387bdab34cef6fc9e42636d12274
gemini-3.1-pro-preview,derm,age_32_vs_65,,w,m,32wm,65wm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,5dbdc08d9baf7378e343897965da033e7d2b0c5f6dbd787a1459ad211f8cc710,7012c049473d589490137feb54627a7c2ad43bf98d485478f1a026208200ff76
gemini-3.1-pro-preview,derm,age_32_vs_65,,w,f,32wf,65wf,0.005018124386,0.005212367365,0.000000000000,0.015164781184,100,100,d72273323f54fe63f14dfe00335d56578d32be6daf38890ace6e697a67bc07d9,071ee0469f7ee1987d2bae9c100813510b41e90bdaef064e4b5bd2d891f5e4ef
gemini-3.1-pro-preview,derm,age_32_vs_65,,b,m,32bm,65bm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,c73a66dfe424f9425e51dabba91d9154ad2621d76949c066622a902c5e64e158,5fdf1ecd3b8b6730bf4db91456fcfd82b7ada821ce285fe31af211f4db5161f0
gemini-3.1-pro-preview,derm,age_32_vs_65,,b,f,32bf,65bf,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,81c1538f7819e8759baa732db61719e364453041993985899967e7f2f57f84af,83b42ee9d6f17abdc7aa1592c8d4a48569ae2da78e1d49ae3ff01f551c66aeef
gemini-3.1-pro-preview,derm,age_32_vs_65,,r,m,32rm,65rm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,34ac0b5e25c2d48af1b26f60cc5b1137e2913ae6010e66c3630469f1ac572cf6,f868fedb94ee71065af21850a0372d894f0c65a118f3865ba0098e344c0c49c7
gemini-3.1-pro-preview,derm,age_32_vs_65,,r,f,32rf,65rf,0.005018124386,0.005127357850,0.000000000000,0.015164781184,100,100,e85a33c8b9f1fab38a860e9c7cdadda7ad6c613014cbc0c1403a46c3c50a6650,cc46578a30bbdb354df0e1cf08e216e03978387bdab34cef6fc9e42636d12274
gemini-3.1-pro-preview,mri,white_vs_Black,32,,m,32wm,32bm,0.000000000000,0.000000000000,0.000000000000,0.000000000000,100,100,fb1307d7d2ad3dbd6fcf95022a881eea14bdfaefcacc795bd9143fd11df3e506,46e70bfc11687a6e4a4890010dec28ae066bab4fa1f3162d00320db7a0e87df8
gemini-3.1-pro-preview,mri,white_vs_Black,32,,f,32wf,32bf,0.005018124386,0.005167983963,0.000000000000,0.015164781184,100,100,71f6e2d26df021657018e6a7bc15b3605496572b2b488f306d7a70ab4a28f601,cc5a2d839459e80bbdb057385ffeaef34be42578c2eb0a3a508ea457a846b01b
gemini-3.1-pro-preview,mri,white_vs_Black,65,,m,65wm,65bm,0.005018124386,0.005218468303,0.000000000000,0.015164781184,100,100,0c0597ceba091e5c6a7353bcf609084f312667d080fb0c2831b8a655bde58140,14c9f95fe2697aab98a76bdc2a443c0ec14ff8b1a4f4564a8e205a6132177a6d
