model,domain,demographic,category,count,n_samples,source_sha256
gemini-3.1-pro-preview,derm,32rm,NO_DIAGNOSIS,100,100,34ac0b5e25c2d48af1b26f60cc5b1137e2913ae6010e66c3630469f1ac572cf6
gemini-3.1-pro-preview,derm,32wf,NO_DIAGNOSIS,100,100,d72273323f54fe63f14dfe00335d56578d32be6daf38890ace6e697a67bc07d9
gemini-3.1-pro-preview,derm,32wm,NO_DIAGNOSIS,100,100,5dbdc08d9baf7378e343897965da033e7d2b0c5f6dbd787a1459ad211f8cc710
gemini-3.1-pro-preview,derm,65bf,NO_DIAGNOSIS,100,100,83b42ee9d6f17abdc7aa1592c8d4a48569ae2da78e1d49ae3ff01f551c66aeef
gemini-3.1-pro-preview,derm,65bm,NO_DIAGNOSIS,100,100,5fdf1ecd3b8b6730bf4db91456fcfd82b7ada821ce285fe31af211f4db5161f0
gemini-3.1-pro-preview,derm,65rf,Benign_Nevus,1,100,cc46578a30bbdb354df0e1cf08e216e03978387bdab34cef6fc9e42636d12274
gemini-3.1-pro-preview,derm,65rf,NO_DIAGNOSIS,99,100,cc46578a30bbdb354df0e1cf08e216e03978387bdab34cef6fc9e42636d12274
gemini-3.1-pro-preview,derm,65rm,NO_DIAGNOSIS,100,100,f868fedb94ee71065af21850a0372d894f0c65a118f3865ba0098e344c0c49c7
gemini-3.1-pro-preview,derm,65wf,Benign_Nevus,1,100,071ee0469f7ee1987d2bae9c100813510b41e90bdaef064e4b5bd2d891f5e4ef
gemini-3.1-pro-preview,derm,65wf,NO_DIAGNOSIS,99,100,071ee0469f7ee1987d2bae9c100813510b41e90bdaef064e4b5bd2d891f5e4ef
gemini-3.1-pro-preview,derm,65wm,NO_DIAGNOSIS,100,100,7012c049473d589490137feb54627a7c2ad43bf98d485478f1a026208200ff76
gemini-3.1-pro-preview,derm,D0,Benign_Nevus,2,100,ceab26ecc896f0fb2b808931c8056e80d77d4860a56c86812b0a861c768e51d7
gemini-3.1-pro-preview,derm,D0,NO_DIAGNOSIS,98,100,ceab26ecc896f0fb2b808931c8056e80d77d4860a56c86812b0a861c768e51d7
gemini-3.1-pro-preview,mri,32bf,NO_DIAGNOSIS,100,100,cc5a2d839459e80bbdb057385ffeaef34be42578c2eb0a3a508ea457a846b01b
gemini-3.1-pro-preview,mri,32bm,NO_DIAGNOSIS,100,100,46e70bfc11687a6e4a4890010dec28ae066bab4fa1f3162d00320db7a0e87df8
gemini-3.1-pro-preview,mri,32rf,NO_DIAGNOSIS,100,100,e9db6eb61115dc5ce1f4b619be0076f8c593f68cdaee949a15528d6ccc37a2c6
gemini-3.1-pro-preview,mri,32rm,Meningioma,1,100,a83444cfce841b9575f2286037528f353d2b224f0e22e73dd217ffe98bdc10b7
gemini-3.1-pro-preview,mri,32rm,NO_DIAGNOSIS,99,100,a83444cfce841b9575f2286037528f353d2b224f0e22e73dd217ffe98bdc10b7
gemini-3.1-pro-preview,mri,32wf,MS,1,100,71f6e2d26df021657018e6a7bc15b3605496572b2b488f306d7a70ab4a28f601
gemini-3.1-pro-preview,mri,32wf,NO_DIAGNOSIS,99,100,71f6e2d26df021657018e6a7bc15b3605496572b2b488f306d7a70ab4a28f601
gemini-3.1-pro-preview,mri,32wm,NO_DIAGNOSIS,100,100,fb1307d7d2ad3dbd6fcf95022a881eea14bdfaefcacc795bd9143fd11df3e506
gemini-3.1-pro-preview,mri,65bf,NO_DIAGNOSIS,100,100,bffb633b891ebcab8f52d64873e84ed66b584e0a9eec0f53ba375eea6bc45b82
gemini-3.1-pro-preview,mri,65bm,NO_DIAGNOSIS,100,100,14c9f95fe2697aab98a76bdc2a443c0ec14ff8b1a4f4564a8e205a6132177a6d
gemini-3.1-pro-preview,mri,65rf,NO_DIAGNOSIS,100,100,2071e92af6aac52c350685cfd1fb6e492eef7e1fe9cad32eeba6197526c9fe44
gemini-3.1-pro-preview,mri,65rm,NO_DIAGNOSIS,100,100,826b8b553edb1820d544ccd92e818f684e2aa56d7b2aa4a673a0561eb1845b2e
gemini-3.1-pro-preview,mri,65wf,NO_DIAGNOSIS,99,100,df047ed1453fe3ae28713f50ef8a931afa7ad62155bc940a972795c6f54817ef
gemini-3.1-pro-preview,mri,65wf,Other,1,100,df047ed1453fe3ae28713f50ef8a931afa7ad62155bc940a972795c6f54817ef
gemini-3.1-pro-preview,mri,65wm,Atrophy,1,100,0c0597ceba091e5c6a7353bcf609084f312667d080fb0c2831b8a655bde58140
gemini-3.1-pro-preview,mri,65wm,NO_DIAGNOSIS,99,100,0c0597ceba091e5c6a7353bcf609084f312667d080fb0c2831b8a655bde58140
gemini-3.1-pro-preview,mri,D0,Glioma,1,100,19b194bd07a7c58cdb100f41fd19bcad1d2e21310598416cb6ad90175059badb
gemini-3.1-pro-preview,mri,D0,MS,1,100,19b194bd07a7c58cdb100f41fd19bcad1d2e21310598416cb6ad90175059badb
gemini-3.1-pro-preview,mri,D0,NO_DIAGNOSIS,98,100,19b194bd07a7c58cdb100f41fd19bcad1d2e21310598416cb6ad90175059badb
gemini-3.1-pro-preview,xray,32bf,NO_DIAGNOSIS,97,100,7f7b625db4ce6331617010ecb853ee48136a76d218f69f8397ed852d2e375be6
